segment_id,emotion,KEM_neutral,KEM_angry,KEM_happy,KEM_surprise,KEM_sad,KEM_fear,KEM_disgust
022-336,sad,0.0231,0.0022,0.0003,0.0005,0.9736,0.0001,0.0002
022-341,sad,0.0313,0.0049,0.0002,0.0007,0.9624,7.93E-05,0.0003
022-342,sad,0.7072,0.0036,0.0014,0.0022,0.2834,0.0003,0.0018
022-346,sad,0.4345,0.0082,0.3263,0.0061,0.2122,0.0063,0.0064
023-006,happy,0.6501,0.0748,0.1314,0.0659,0.0213,0.01,0.0466
023-010,happy,0.777,0.0391,0.019,0.0024,0.1573,0.0004,0.0047
023-011,happy,0.5325,0.0074,0.0019,0.0012,0.4558,0.0003,0.0009
023-012,happy,0.6061,0.115,0.1912,0.0357,0.0241,0.001,0.027
023-013,happy,0.8731,0.0263,0.0015,0.0019,0.0898,0.0005,0.0069
023-014,happy,0.0717,0.4131,0.0226,0.0086,0.0016,0.0288,0.4536
023-015,happy,0.1288,0.6844,0.0007,0.0103,0.0002,0.0005,0.1751
023-016,happy,0.6347,0.0506,0.0266,0.0161,0.2655,0.0027,0.0039
023-017,happy,0.9636,0.0109,0.0018,0.0031,0.0191,0.0003,0.0012
023-018,happy,0.7129,0.0946,0.0467,0.0062,0.1179,0.0004,0.0213
023-019,happy,0.9028,0.0483,0.0228,0.0132,0.0089,0.0009,0.0031
023-020,happy,0.9172,0.03,0.0085,0.0061,0.0045,0.0003,0.0335
023-021,happy,0.5278,0.0072,0.2384,0.0055,0.2147,0.0025,0.0039
023-026,happy,0.9455,0.018,0.0128,0.0129,0.0038,0.001,0.0059
023-030,happy,0.347,0.5779,0.0003,0.0037,0.002,0.0002,0.0688
023-031,happy,0.7644,0.0038,0.1526,0.0031,0.0659,0.001,0.0091
023-045,happy,0.0649,0.0063,0.8576,0.0145,0.0446,0.01,0.0021
023-052,surprise,0.6184,0.0493,0.1714,0.0505,0.106,0.0024,0.0021
023-053,surprise,0.898,0.0161,0.0184,0.0405,0.0239,0.001,0.0021
023-057,surprise,0.4287,0.3432,0.0094,0.0703,0.0747,0.0023,0.0714
023-061,surprise,0.147,0.0499,0.0009,0.007,0.0173,0.0007,0.7773
023-062,surprise,0.7165,0.25,0.0003,0.0049,0.012,0.0023,0.0141
023-063,surprise,0.9596,0.004,0.0059,0.0043,0.0165,0.001,0.0087
023-064,surprise,0.6771,0.24,0.0008,0.0026,0.0023,0.0002,0.077
023-065,surprise,0.1669,0.0813,0.0022,0.7333,0.0059,0.0086,0.0018
023-066,surprise,0.9146,0.055,0.0013,0.0082,0.0147,0.0003,0.0058
023-067,surprise,0.0211,0.0118,0.0402,0.8991,0.003,0.0241,0.0007
023-068,surprise,0.7345,0.0221,0.0113,0.0047,0.2242,0.0007,0.0026
023-069,surprise,0.2138,0.7237,0.0012,0.0484,0.0003,0.0023,0.0103
023-070,surprise,0.0904,0.0084,0.0024,0.0025,0.8951,0.0005,0.0007
023-072,surprise,0.8969,0.0157,0.0057,0.0616,0.0029,0.005,0.0121
023-077,surprise,0.6045,0.0347,0.0142,0.0383,0.0281,0.0203,0.2598
023-081,surprise,0.4864,0.0209,0.0013,0.2758,0.0295,0.1836,0.0026
023-088,surprise,0.3344,0.6226,0.0004,0.0032,0.0008,0.0002,0.0385
023-101,neutral,0.9749,0.011,0.0005,0.0008,0.005,0.0001,0.0077
023-102,neutral,0.5875,0.2459,0.0004,0.1473,0.0015,0.004,0.0135
023-106,neutral,0.9094,0.0383,0.0025,0.0021,0.0429,0.0002,0.0046
023-111,neutral,0.7838,0.0857,0.0003,0.0083,0.0019,0.0003,0.1197
023-112,neutral,0.9671,0.0089,0.0018,0.0021,0.0178,0.0004,0.0019
023-113,neutral,0.9491,0.0039,0.0362,0.0039,0.0039,0.0003,0.0028
023-114,neutral,0.7068,0.0443,0.0016,0.0116,0.2262,0.0037,0.0059
023-115,neutral,0.8979,0.0592,0.0041,0.0048,0.0113,0.0003,0.0223
023-116,neutral,0.944,0.0353,0.0004,0.0017,0.0042,0.0002,0.0142
023-117,neutral,0.0566,0.9238,0.0002,0.0136,0.0002,0.0009,0.0047
023-118,neutral,0.8933,0.0416,0.0004,0.0306,0.0009,0.0067,0.0265
023-119,neutral,0.8453,0.0349,0.0015,0.1058,0.0068,0.0033,0.0024
023-120,neutral,0.5069,0.0143,0.4428,0.0097,0.0209,0.0016,0.0039
023-123,neutral,0.9574,0.0161,0.0006,0.005,0.003,0.0002,0.0177
023-136,neutral,0.9486,0.0038,0.0248,0.0038,0.0162,0.0006,0.0021
023-139,neutral,0.5412,0.2588,0.0004,0.1536,0.0005,0.0103,0.0352
023-141,neutral,0.8927,0.0021,0.0064,0.0019,0.0955,0.0007,0.0007
023-153,fear,0.7176,0.0379,0.0077,0.0084,0.2249,0.0013,0.0021
023-155,fear,0.1452,0.002,0.0014,0.0071,0.0071,0.8227,0.0145
023-161,fear,0.1186,0.0094,0.0004,0.2235,0.0018,0.6341,0.0122
023-162,fear,0.4532,0.2498,0.0618,0.0329,0.1729,0.0013,0.028
023-163,fear,0.7483,0.0128,0.0168,0.0083,0.2053,0.0006,0.0079
023-164,fear,0.597,0.0035,0.002,0.1091,0.0173,0.2563,0.0147
023-165,fear,0.5882,0.129,0.1802,0.0785,0.0081,0.0094,0.0066
023-166,fear,0.0484,0.9154,0.0003,0.0044,0.0043,0.0075,0.0198
023-167,fear,0.835,0.0378,0.0016,0.0096,0.1102,0.002,0.0037
023-168,fear,0.0477,0.0227,0.0005,0.1237,0.002,0.7751,0.0284
023-169,fear,0.0907,0.0203,0.0021,0.2079,0.0103,0.66,0.0087
023-170,fear,0.8765,0.0133,0.0074,0.059,0.0258,0.0163,0.0018
023-177,fear,0.9644,0.0032,0.0032,0.0017,0.0201,0.0007,0.0066
023-182,fear,0.0828,0.0063,0.0003,0.4608,0.0051,0.4418,0.0029
023-194,fear,0.1434,0.088,0.0007,0.1238,0.002,0.2954,0.3468
023-199,fear,0.3658,0.1629,0.0004,0.0111,0.4299,0.0004,0.0296
023-200,fear,0.9593,0.0036,0.0047,0.0016,0.028,0.0004,0.0024
023-208,disgust,0.1373,0.8492,0.0001,0.0028,0.0005,0.0003,0.0098
023-211,disgust,0.5817,0.017,0.2562,0.01,0.1246,0.005,0.0055
023-212,disgust,0.3895,0.069,0.0184,0.502,0.0159,0.0032,0.0019
023-213,disgust,0.8647,0.0114,0.0098,0.0862,0.0179,0.0072,0.0028
023-214,disgust,0.3085,0.1989,0.0015,0.0018,0.4343,0.0008,0.0543
023-215,disgust,0.8902,0.0201,0.0026,0.0029,0.0251,0.0011,0.0579
023-216,disgust,0.9346,0.005,0.0053,0.0034,0.05,0.0005,0.0012
023-217,disgust,0.9607,0.0049,0.0135,0.0017,0.017,0.0003,0.0019
023-218,disgust,0.1876,0.7789,0.0006,0.0035,0.0023,0.0002,0.0269
023-219,disgust,0.8141,0.023,0.0102,0.0133,0.1353,0.0012,0.0029
023-220,disgust,0.0985,0.8927,0.0002,0.0025,0.0013,0.0002,0.0046
023-223,disgust,0.7893,0.0229,0.1369,0.0025,0.0147,0.0004,0.0332
023-228,disgust,0.8002,0.0165,0.0019,0.0469,0.1294,0.0008,0.0044
023-229,disgust,0.1848,0.7046,0.0514,0.0035,0.0277,0.0007,0.0272
023-234,disgust,0.645,0.0206,0.0008,0.2262,0.0199,0.0726,0.0148
023-235,disgust,0.6144,0.0141,0.1881,0.0052,0.1712,0.0019,0.005
023-245,disgust,0.7635,0.0724,0.0574,0.0306,0.0343,0.001,0.0409
023-253,angry,0.0785,0.6593,0.0004,0.0036,0.0067,0.0012,0.2503
023-261,angry,0.9388,0.0136,0.0026,0.0024,0.0399,0.0004,0.0023
023-263,angry,0.747,0.2239,0.0007,0.0024,0.0079,0.0002,0.0179
023-264,angry,0.4148,0.5189,0.0008,0.0084,0.0345,0.0004,0.0222
023-266,angry,0.0638,0.0712,0.0062,0.8267,0.0005,0.028,0.0035
023-267,angry,0.9406,0.0106,0.0053,0.0039,0.0378,0.0005,0.0013
023-268,angry,0.3345,0.6021,0.0008,0.0062,0.0013,0.0005,0.0546
023-269,angry,0.9007,0.0708,0.012,0.0099,0.0025,0.0004,0.0038
023-270,angry,0.0784,0.0531,0.0013,0.4119,0.0007,0.4482,0.0063
023-271,angry,0.5164,0.0518,0.0041,0.0157,0.0154,0.001,0.3955
023-272,angry,0.907,0.0157,0.0162,0.0367,0.0172,0.0052,0.0019
023-275,angry,0.8634,0.0138,0.086,0.0174,0.0064,0.0044,0.0086
023-276,angry,0.105,0.4402,0.0019,0.3119,0.0025,0.0948,0.0437
023-286,angry,0.0995,0.8634,0.0002,0.0273,0.0006,0.002,0.007
023-291,angry,0.2078,0.6489,0.0002,0.0068,0.0014,0.0008,0.1341
023-297,angry,0.1578,0.7855,0.0003,0.0078,0.0006,0.0003,0.0477
023-304,sad,0.0777,0.0024,0.001,0.0008,0.9175,0.0004,0.0002
023-306,sad,0.4883,0.0151,0.369,0.0075,0.1122,0.004,0.0039
023-310,sad,0.2636,0.0037,0.0078,0.0022,0.7188,0.0015,0.0024
023-311,sad,0.9302,0.0049,0.0172,0.0045,0.0392,0.0012,0.0027
023-312,sad,0.2559,0.0068,0.0015,0.6387,0.012,0.0822,0.0028
023-313,sad,0.2036,0.0521,0.0004,0.0041,0.73,0.0018,0.0081
023-314,sad,0.8169,0.007,0.0055,0.0027,0.1656,0.0006,0.0017
023-315,sad,0.4478,0.0187,0.3222,0.0099,0.193,0.0045,0.004
023-316,sad,0.8845,0.0041,0.0091,0.0016,0.0987,0.0005,0.0015
023-317,sad,0.7028,0.0099,0.1162,0.0075,0.1517,0.0086,0.0034
023-318,sad,0.4869,0.0105,0.2078,0.0105,0.2733,0.0031,0.008
023-319,sad,0.1724,0.3617,0.0006,0.1852,0.2565,0.0193,0.0044
023-320,sad,0.0629,0.0329,0.0005,0.0013,0.9003,0.0003,0.0018
023-322,sad,0.0616,0.0078,0.0002,0.003,0.894,0.032,0.0014
023-327,sad,0.8658,0.1028,0.0005,0.0018,0.0015,0.0004,0.0272
023-333,sad,0.8865,0.0041,0.0027,0.0014,0.1038,0.0006,0.0009
023-335,sad,0.8335,0.0193,0.0535,0.0049,0.0698,0.0008,0.0183
024-008,happy,0.6581,0.0059,0.2793,0.0113,0.037,0.0037,0.0047
024-011,happy,0.5784,0.0096,0.0023,0.0014,0.4068,0.0003,0.0011
024-018,happy,0.7399,0.0546,0.0318,0.0045,0.1477,0.0004,0.021
024-019,happy,0.9457,0.0212,0.0082,0.0057,0.0165,0.0004,0.0021
024-021,happy,0.3894,0.0097,0.4767,0.0049,0.1114,0.0034,0.0044
024-022,happy,0.028,0.0049,0.0002,0.001,0.9654,0.0003,0.0003
024-023,happy,0.8491,0.0101,0.0039,0.0033,0.1313,0.0015,0.0009
024-024,happy,0.8159,0.044,0.0138,0.002,0.0314,0.0005,0.0925
024-025,happy,0.9302,0.0041,0.0314,0.0025,0.0281,0.0007,0.003
024-026,happy,0.9582,0.007,0.0115,0.0083,0.0062,0.0012,0.0074
024-027,happy,0.7726,0.0052,0.192,0.0056,0.0176,0.0047,0.0023
024-028,happy,0.0984,0.0205,0.0024,0.1871,0.0014,0.6784,0.0118
024-029,happy,0.9409,0.0253,0.0023,0.0023,0.0213,0.0005,0.0073
024-030,happy,0.4191,0.4891,0.0004,0.0037,0.0026,0.0003,0.0848
024-031,happy,0.6939,0.0052,0.2394,0.0035,0.0451,0.0009,0.012
024-037,happy,0.3744,0.0129,0.5589,0.0131,0.0351,0.0023,0.0032
024-039,happy,0.7533,0.0138,0.1552,0.0046,0.0632,0.0008,0.0091
024-053,surprise,0.884,0.0129,0.02,0.0493,0.03,0.0018,0.0021
024-057,surprise,0.4207,0.3602,0.0133,0.0789,0.0548,0.0022,0.07
024-062,surprise,0.5553,0.4102,0.0003,0.009,0.0078,0.0036,0.0138
024-071,surprise,0.8596,0.0777,0.0004,0.0144,0.0052,0.0003,0.0425
024-072,surprise,0.9099,0.0116,0.0062,0.0517,0.0045,0.0054,0.0108
024-073,surprise,0.8132,0.0598,0.0109,0.0153,0.0963,0.0013,0.0033
024-074,surprise,0.8751,0.0082,0.0026,0.0045,0.1077,0.0011,0.0007
024-075,surprise,0.0512,0.0028,0.0007,0.0122,0.0017,0.9273,0.0041
024-076,surprise,0.1931,0.0165,0.0004,0.0065,0.7712,0.0107,0.0016
024-077,surprise,0.6867,0.0521,0.0136,0.036,0.0266,0.0083,0.1768
024-078,surprise,0.547,0.1259,0.1083,0.0091,0.1181,0.0023,0.0893
024-079,surprise,0.8601,0.0283,0.0013,0.0107,0.097,0.0018,0.0008
024-080,surprise,0.7159,0.0991,0.0963,0.0142,0.0679,0.001,0.0056
024-088,surprise,0.2406,0.7212,0.0005,0.0036,0.0005,0.0002,0.0334
024-091,surprise,0.7674,0.0084,0.028,0.0172,0.1753,0.0027,0.001
024-096,surprise,0.1461,0.8261,0.0052,0.0159,0.0036,0.0005,0.0026
024-098,surprise,0.7718,0.0117,0.0252,0.01,0.1757,0.0025,0.003
024-106,neutral,0.8826,0.0764,0.0047,0.0026,0.0275,0.0002,0.0061
024-107,neutral,0.9369,0.0092,0.0291,0.0045,0.0067,0.0013,0.0123
024-112,neutral,0.9706,0.0054,0.0018,0.0016,0.0181,0.0004,0.0021
024-118,neutral,0.8761,0.0434,0.0004,0.0394,0.0011,0.0108,0.0288
024-121,neutral,0.9715,0.0114,0.0055,0.0014,0.004,0.0001,0.0061
024-122,neutral,0.9257,0.0574,0.0027,0.0044,0.0016,0.0003,0.0079
024-123,neutral,0.9241,0.0377,0.0008,0.0103,0.0019,0.0003,0.0249
024-124,neutral,0.901,0.0736,0.001,0.0032,0.0125,0.0002,0.0084
024-125,neutral,0.9812,0.009,0.0013,0.0017,0.002,0.0003,0.0046
024-126,neutral,0.4795,0.0241,0.4448,0.0074,0.0376,0.0013,0.0053
024-127,neutral,0.8678,0.0096,0.1009,0.0052,0.0083,0.0032,0.0049
024-128,neutral,0.6721,0.198,0.0326,0.0229,0.002,0.0009,0.0716
024-129,neutral,0.9189,0.0232,0.0403,0.008,0.0053,0.0008,0.0035
024-130,neutral,0.4027,0.4703,0.0012,0.0267,0.0007,0.0013,0.0971
024-131,neutral,0.6501,0.0338,0.0425,0.004,0.2642,0.0004,0.005
024-136,neutral,0.9441,0.0056,0.03,0.0048,0.0127,0.0007,0.0022
024-137,neutral,0.9606,0.006,0.0005,0.0026,0.0272,0.0006,0.0025
024-152,fear,0.3889,0.1462,0.0107,0.09,0.1436,0.0865,0.1341
024-159,fear,0.0163,0.0007,8.54E-05,0.0168,0.002,0.9627,0.0013
024-166,fear,0.0347,0.9419,0.0003,0.0035,0.0021,0.0035,0.0141
024-169,fear,0.0939,0.0211,0.0023,0.1903,0.0084,0.6748,0.0092
024-171,fear,0.6015,0.1247,0.0002,0.0081,0.0006,0.0021,0.2628
024-172,fear,0.2188,0.6066,0.0008,0.0024,0.0007,0.0004,0.1703
024-173,fear,0.4223,0.0928,0.0009,0.2993,0.0009,0.1615,0.0222
024-174,fear,0.0918,0.6613,0.0007,0.174,0.0008,0.0511,0.0202
024-175,fear,0.7569,0.0653,0.1285,0.0115,0.0303,0.0009,0.0066
024-176,fear,0.724,0.0127,0.0232,0.0202,0.0061,0.1889,0.0249
024-177,fear,0.9684,0.0064,0.0054,0.0017,0.009,0.0004,0.0087
024-178,fear,0.3404,0.172,0.0387,0.4258,0.0091,0.0044,0.0096
024-179,fear,0.8821,0.0204,0.0022,0.0128,0.0782,0.0011,0.0032
024-181,fear,0.1855,0.0465,0.0012,0.1206,0.5961,0.0314,0.0187
024-182,fear,0.0972,0.0071,0.0004,0.4844,0.0043,0.4028,0.0037
024-189,fear,0.8748,0.0054,0.0459,0.0033,0.011,0.0017,0.058
024-192,fear,0.9615,0.0093,0.0014,0.0019,0.0234,0.0003,0.0022
024-203,disgust,0.1543,0.0047,0.0008,0.0247,0.0014,0.7617,0.0524
024-206,disgust,0.8673,0.0367,0.0005,0.0019,0.0021,0.0004,0.0911
024-209,disgust,0.8381,0.0301,0.007,0.069,0.0113,0.0051,0.0395
024-216,disgust,0.9444,0.0037,0.0053,0.0029,0.0419,0.0004,0.0013
024-221,disgust,0.5646,0.1949,0.0032,0.0047,0.0089,0.0015,0.2222
024-222,disgust,0.3917,0.2429,0.0015,0.0043,0.1621,0.0016,0.1959
024-223,disgust,0.7011,0.0393,0.2071,0.0038,0.0117,0.0006,0.0364
024-224,disgust,0.8309,0.0413,0.0123,0.0116,0.1002,0.001,0.0027
024-225,disgust,0.0384,0.0143,0.0005,0.0009,0.9452,0.0002,0.0006
024-226,disgust,0.8413,0.007,0.0162,0.0028,0.1279,0.0007,0.0042
024-227,disgust,0.1139,0.8141,0.0002,0.0546,0.0029,0.0022,0.012
024-228,disgust,0.7927,0.0174,0.0024,0.0493,0.1334,0.0008,0.004
024-229,disgust,0.4301,0.3254,0.0941,0.004,0.1002,0.0016,0.0445
024-230,disgust,0.8356,0.1535,0.0007,0.002,0.0022,0.0002,0.0058
024-232,disgust,0.4448,0.0836,0.0013,0.004,0.3574,0.0006,0.1084
024-234,disgust,0.6011,0.0377,0.0014,0.2414,0.0105,0.0851,0.0228
024-248,disgust,0.9403,0.0151,0.009,0.0028,0.0306,0.0004,0.0017
024-252,angry,0.7568,0.1255,0.0015,0.0141,0.0017,0.0013,0.099
024-253,angry,0.1158,0.4885,0.0005,0.0039,0.0133,0.0024,0.3757
024-264,angry,0.1585,0.8125,0.0006,0.0072,0.0078,0.0003,0.0131
024-271,angry,0.5213,0.0255,0.0037,0.0116,0.0186,0.0011,0.4182
024-272,angry,0.9421,0.0097,0.0101,0.0168,0.0172,0.0023,0.0017
024-273,angry,0.8563,0.0323,0.0267,0.0149,0.0668,0.0005,0.0025
024-274,angry,0.0572,0.9303,0.0003,0.0044,0.0002,0.0003,0.0073
024-275,angry,0.955,0.0015,0.0209,0.0012,0.0146,0.0006,0.0061
024-276,angry,0.0953,0.3764,0.0035,0.3358,0.002,0.1267,0.0603
024-277,angry,0.8839,0.0244,0.0025,0.0506,0.0022,0.0096,0.0268
024-278,angry,0.9539,0.0061,0.013,0.0015,0.0223,0.0002,0.003
024-279,angry,0.9594,0.0065,0.0136,0.0063,0.0119,0.0009,0.0014
024-280,angry,0.7747,0.0199,0.0772,0.0612,0.0061,0.0493,0.0115
024-286,angry,0.0359,0.9399,0.0002,0.0187,0.0001,0.0009,0.0042
024-289,angry,0.0198,0.9749,0.0002,0.0013,0.0004,0.0002,0.0031
024-291,angry,0.0636,0.8586,0.0002,0.0078,0.0003,0.001,0.0685
024-299,angry,0.9011,0.0806,0.0057,0.0032,0.0064,0.0003,0.0027
024-303,sad,0.8474,0.0306,0.0032,0.011,0.0075,0.0003,0.1
024-311,sad,0.9389,0.0034,0.0164,0.0033,0.0343,0.001,0.0026
024-318,sad,0.4199,0.0129,0.2808,0.0143,0.2593,0.0038,0.0089
024-321,sad,0.8752,0.0046,0.0116,0.0039,0.1025,0.001,0.0013
024-322,sad,0.0672,0.0132,0.0004,0.0038,0.8693,0.044,0.002
024-323,sad,0.8489,0.0036,0.0258,0.0015,0.1085,0.0006,0.0111
024-324,sad,0.5742,0.0098,0.1481,0.0058,0.2579,0.0022,0.002
024-325,sad,0.5673,0.0043,0.0058,0.0014,0.4196,0.0003,0.0014
024-326,sad,0.2106,0.0438,0.0005,0.003,0.7367,0.0011,0.0042
024-327,sad,0.8357,0.1317,0.0007,0.0019,0.0013,0.0003,0.0285
024-328,sad,0.1308,0.0104,0.0017,0.4571,0.0062,0.3889,0.0049
024-329,sad,0.9163,0.0196,0.0009,0.0086,0.0454,0.0023,0.0068
024-330,sad,0.9187,0.0023,0.0436,0.0027,0.0302,0.0011,0.0015
024-333,sad,0.9122,0.0065,0.0045,0.0015,0.0729,0.001,0.0015
024-339,sad,0.3635,0.3123,0.0002,0.01,0.2972,0.0023,0.0146
024-343,sad,0.6216,0.0403,0.2688,0.0113,0.0421,0.0016,0.0142
024-345,sad,0.021,0.0054,9.35E-05,0.0011,0.9714,0.0003,0.0007
025-011,happy,0.5687,0.015,0.0021,0.0023,0.4103,0.0005,0.0012
025-012,happy,0.5463,0.1285,0.2351,0.0409,0.0177,0.0011,0.0304
025-026,happy,0.9498,0.0122,0.0112,0.0135,0.0058,0.0015,0.006
025-031,happy,0.6086,0.0053,0.3355,0.0025,0.0345,0.001,0.0126
025-032,happy,0.8856,0.047,0.0157,0.0016,0.0072,0.0001,0.0428
025-033,happy,0.5183,0.0251,0.004,0.0033,0.4414,0.0052,0.0028
025-034,happy,0.0114,0.0006,0.9818,0.0027,0.0014,0.0019,0.0002
025-035,happy,0.0276,0.004,0.0003,0.0005,0.9672,0.0002,0.0002
025-036,happy,0.8876,0.0102,0.0191,0.0035,0.0747,0.0005,0.0045
025-037,happy,0.2094,0.0234,0.7355,0.0159,0.0125,0.0014,0.0019
025-038,happy,0.4196,0.0234,0.004,0.0012,0.5492,0.0003,0.0023
025-039,happy,0.7292,0.0212,0.1957,0.0046,0.038,0.0008,0.0105
025-040,happy,0.4419,0.0735,0.0807,0.3548,0.0025,0.0232,0.0235
025-064,surprise,0.7042,0.2009,0.0007,0.0035,0.0027,0.0004,0.0876
025-068,surprise,0.7369,0.0252,0.0101,0.0051,0.2192,0.0006,0.0028
025-070,surprise,0.0912,0.0199,0.0037,0.004,0.8797,0.0005,0.0009
025-081,surprise,0.4192,0.016,0.0007,0.2818,0.0296,0.25,0.0026
025-082,surprise,0.9205,0.0068,0.0063,0.0028,0.0612,0.0005,0.0018
025-083,surprise,0.2191,0.0552,0.0009,0.5598,0.0018,0.1566,0.0065
025-084,surprise,0.525,0.2577,0.0003,0.1706,0.0012,0.0157,0.0295
025-085,surprise,0.0698,0.0432,0.0002,0.4954,0.0021,0.3806,0.0088
025-086,surprise,0.5199,0.4489,0.0002,0.0145,0.0027,0.0024,0.0115
025-087,surprise,0.7978,0.0205,0.0293,0.1209,0.0214,0.008,0.002
025-088,surprise,0.2132,0.7505,0.0003,0.0028,0.0004,0.0002,0.0326
025-089,surprise,0.5032,0.0197,0.2732,0.1226,0.0535,0.0249,0.0029
025-090,surprise,0.0185,0.9653,8.54E-05,0.0095,7.72E-05,0.001,0.0055
025-102,neutral,0.5738,0.2446,0.0004,0.1599,0.0016,0.0049,0.0148
025-118,neutral,0.8889,0.0505,0.0003,0.0274,0.0009,0.0061,0.026
025-119,neutral,0.7819,0.0482,0.0015,0.1545,0.007,0.0045,0.0025
025-131,neutral,0.6566,0.0376,0.036,0.004,0.2608,0.0004,0.0047
025-132,neutral,0.9523,0.026,0.0007,0.0013,0.0122,0.0003,0.0072
025-133,neutral,0.3744,0.0358,0.0043,0.5589,0.0171,0.0064,0.0032
025-134,neutral,0.9509,0.0359,0.0015,0.0015,0.0025,0.0002,0.0074
025-135,neutral,0.6816,0.1825,0.0002,0.0115,0.0036,0.0064,0.1143
025-136,neutral,0.9258,0.0113,0.0439,0.0066,0.0092,0.0007,0.0026
025-137,neutral,0.9622,0.0186,0.0008,0.0029,0.0124,0.0003,0.0028
025-138,neutral,0.9241,0.0115,0.001,0.0083,0.0011,0.011,0.0429
025-139,neutral,0.4644,0.3221,0.0005,0.16,0.0004,0.0136,0.0389
025-140,neutral,0.9406,0.0369,0.001,0.0015,0.0022,0.0001,0.0177
025-154,fear,0.9471,0.0165,0.0074,0.0025,0.0196,0.0001,0.0069
025-164,fear,0.2924,0.0059,0.0013,0.1554,0.0054,0.5243,0.0153
025-167,fear,0.8541,0.0568,0.0018,0.0102,0.072,0.0014,0.0038
025-181,fear,0.222,0.0797,0.0015,0.1768,0.4617,0.0379,0.0205
025-182,fear,0.109,0.0086,0.0004,0.5484,0.0052,0.3249,0.0035
025-184,fear,0.6531,0.2847,0.0014,0.0025,0.0045,0.0003,0.0535
025-185,fear,0.8657,0.0036,0.0009,0.0021,0.1257,0.0006,0.0014
025-186,fear,0.0257,0.0406,0.8949,0.0219,0.0109,0.0047,0.0012
025-187,fear,0.3844,0.5284,0.0081,0.0095,0.051,0.001,0.0176
025-188,fear,0.2864,0.4561,0.0021,0.0068,0.031,0.0197,0.1979
025-189,fear,0.8714,0.0076,0.0251,0.0046,0.0133,0.0036,0.0746
025-190,fear,0.3526,0.6233,0.0001,0.0058,0.0079,0.0009,0.0093
025-192,fear,0.953,0.0275,0.0022,0.003,0.0111,0.0003,0.0028
025-216,disgust,0.9538,0.0057,0.0029,0.0037,0.0324,0.0003,0.0011
025-221,disgust,0.4707,0.2998,0.0028,0.006,0.007,0.0015,0.2123
025-224,disgust,0.812,0.0633,0.0122,0.0201,0.0887,0.0011,0.0027
025-231,disgust,0.4635,0.0156,0.1619,0.0065,0.3458,0.003,0.0038
025-232,disgust,0.4445,0.0372,0.0006,0.0024,0.4515,0.0004,0.0634
025-233,disgust,0.8719,0.0128,0.0047,0.0508,0.0485,0.001,0.0102
025-234,disgust,0.5771,0.0321,0.0007,0.285,0.0149,0.0737,0.0165
025-235,disgust,0.5746,0.0144,0.1743,0.0064,0.2214,0.0033,0.0056
025-236,disgust,0.7682,0.0407,0.0019,0.0339,0.035,0.0092,0.1112
025-237,disgust,0.9431,0.0157,0.0035,0.0025,0.0154,0.0008,0.019
025-238,disgust,0.8229,0.0127,0.1127,0.005,0.0414,0.0009,0.0045
025-239,disgust,0.2119,0.0472,0.0004,0.66,0.0042,0.0697,0.0067
025-240,disgust,0.9068,0.0094,0.0027,0.0033,0.0758,0.0009,0.0011
025-263,angry,0.5705,0.403,0.0012,0.0039,0.0054,0.0003,0.0158
025-268,angry,0.2311,0.7054,0.0008,0.0076,0.0009,0.0006,0.0536
025-269,angry,0.8646,0.0926,0.0195,0.0162,0.0023,0.0006,0.0041
025-281,angry,0.1736,0.6532,0.0052,0.0919,0.0042,0.0067,0.065
025-282,angry,0.1232,0.1185,0.0015,0.0141,0.7365,0.0013,0.0048
025-283,angry,0.2411,0.0027,0.0036,0.0013,0.7505,0.0003,0.0005
025-284,angry,0.0652,0.6232,0.0002,0.2496,0.0002,0.0469,0.0147
025-285,angry,0.4058,0.1904,0.371,0.0098,0.0119,0.0017,0.0094
025-286,angry,0.0311,0.9404,0.0002,0.0236,0.0001,0.0012,0.0034
025-287,angry,0.1953,0.3741,0.0009,0.0193,0.0002,0.0019,0.4083
025-288,angry,0.6471,0.3413,0.0012,0.0034,0.0016,0.0005,0.005
025-289,angry,0.0054,0.9919,9.27E-05,0.0011,8.54E-05,0.0001,0.0012
025-290,angry,0.0807,0.1164,0.0044,0.7626,0.0171,0.0181,0.0007
025-301,sad,0.6485,0.0037,0.0829,0.0036,0.2556,0.0011,0.0045
025-307,sad,0.6556,0.0467,0.2089,0.0106,0.0732,0.0016,0.0033
025-310,sad,0.2453,0.002,0.0012,0.0015,0.7483,0.0004,0.0011
025-314,sad,0.8732,0.0141,0.009,0.0026,0.099,0.0004,0.0017
025-331,sad,0.8986,0.0758,0.0008,0.002,0.0107,0.0001,0.0119
025-332,sad,0.9113,0.0488,0.0021,0.014,0.0188,0.0026,0.0025
025-333,sad,0.874,0.0057,0.0023,0.0019,0.114,0.001,0.0011
025-334,sad,0.3489,0.0081,0.012,0.0048,0.6194,0.0003,0.0064
025-335,sad,0.8234,0.0239,0.0317,0.0069,0.0823,0.0013,0.0304
025-336,sad,0.0101,0.0015,0.0002,0.0004,0.9874,0.0002,0.0001
025-337,sad,0.5166,0.008,0.0052,0.0025,0.4644,0.0015,0.0018
025-338,sad,0.1233,0.0476,0.006,0.0021,0.8132,0.0007,0.0071
025-339,sad,0.2975,0.5057,0.0002,0.0111,0.1676,0.0019,0.0161
025-340,sad,0.0891,0.0124,0.0002,0.0418,0.5195,0.3346,0.0025
